话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
https://m.weibo.cn/detail/4786134313337441,申论必背的50句领导人名言#公务员考试# #疫情防控# 公考必胜 #省考# 全国公务员面试真题 #公务员# #云南省考# ,1610948130,公考大斌哥公务员行测申论指南,m,2022/06/30,19:00:04,20,1,14, , , , , , 
https://m.weibo.cn/detail/4786111656235756,申论小题概括不到点上？快背这88条规范词！#公务员考试# 公考必胜 #疫情防控# #省考# #公务员# ,1610948130,公考大斌哥公务员行测申论指南,m,2022/06/30,17:30:03,148,11,197, , , , , , 
https://m.weibo.cn/detail/4786208980864531,【#风险提示# #疫情防控# 江苏无锡市来（返）昌人员请立即报备！】为进一步做好疫情外防输入工作，守护市民生命健康安全，鉴于江苏无锡市于6月28日报告新冠聚集性疫情，紧急提醒如下：6月21日以来江苏无锡市来（返）昌的人员，请立即向所在社区（村）、单位、酒店等主动报备，按“愿检尽检”原则尽快就近开展1次核酸检测。*如出现发热、干咳等症状，务必尽快前往就近的发热门诊就诊，并向医生告知旅居史。后续措施可能会视情况调整，敬请密切关注官方发布。,1343692175,家庭医生报,m,2022/06/30,23:56:47,0,1,1, , , , , , 
https://m.weibo.cn/detail/4786208863682766,6、#疫情防控# 图说 |《公民防疫基本行为准则》新型冠状病毒肺炎防控方案（第九版）图说 |《公民防疫基本行为准则》新型冠状病毒肺炎防控方案（第九版） ,3236201210,陆丰发布,m,2022/06/30,23:56:18,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786208863682766,6、#疫情防控# 图说 |《公民防疫基本行为准则》新型冠状病毒肺炎防控方案（第九版）图说 |《公民防疫基本行为准则》新型冠状病毒肺炎防控方案（第九版） ,3236201210,陆丰发布,m,2022/06/30,23:56:18,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786172277033558,#疫情防控# 可千万别再起来了 ,1136793703,亚东,m,2022/06/30,21:30:56,31,7,22, , , , , , 
https://m.weibo.cn/detail/4786206129258933,好幸运，回家啦，从来没有离家这么久过，从来没有从来没有从来没有我太幸运啦！这次可以回家#疫情防控# ,5402285314,谁防我谁崴脚_,m,2022/06/30,23:45:26,0,2,4, , , , , , 
https://m.weibo.cn/detail/4786121709719362,15种中国精神！！！#公务员考试# #疫情防控# 公考必胜 #省考# 全国公务员面试真题 #云南省考# ,1610948130,公考大斌哥公务员行测申论指南,m,2022/06/30,18:10:00,20,0,38, , , , , , 
https://m.weibo.cn/detail/4786205420424416,#丹东疫情# #疫情防控# 生日快乐！,6265862714,津门二耍儿,m,2022/06/30,23:42:38,1913,1320,12413, , , , , , 
https://m.weibo.cn/detail/4786202186615793,#丹东##疫情防控# ,5685778675,Angel杜依依,f,2022/06/30,23:29:47,1,0,1, , , , , , 
https://m.weibo.cn/detail/4786202119766684,#疫情防控#疫情防控，是否可以为所欲为？逍遥法外？执法犯法，罪加一等。还有一句话就是今天的他，有可能就是明天的你我，所以我们必须发声，不仅是为别人，而是为明天的你我！ 空城浮华的微博视频 ,5183860980,空城浮华,m,2022/06/30,23:29:31,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786199632022501,#丹东疫情# #疫情防控# #丹东烂防疫致使93岁老人受辱上吊#,3240598243,叫个什么才算好,f,2022/06/30,23:19:38,698,374,4224, , , , , , 
https://m.weibo.cn/detail/4786198218539194,天天这么抨击疫苗，真的好吗？国外的新冠疫苗副作用。致死。哪种新冠疫苗最好？答：没有。都能防止感染吗？答案：都不能。#疫情防控##新冠病毒# 环球连线的微博视频 ,1365323735,环球连线,m,2022/06/30,23:14:00,1,4,15, , , , , , 
https://m.weibo.cn/detail/4786195634850626,#疫情防控# 【最新版新冠肺炎防控方案发布】最新版新冠肺炎防控方案发布 ,3735966075,杨陵宣传,m,2022/06/30,23:03:45,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786193781233012,#疫情防控#【商丘市疫情指挥部办公室再发紧急提醒，这些人请立即报备！】2022年6月30日，青岛市黄岛区发现9例新冠肺炎本土感染者，均系在对应检尽检的重点人员例行核酸检测时发现。9人均系某公司进口冷链货物专仓工作人员，青岛疫情再次给我们敲响警钟，疫情输入风险时刻存在。为持续做好我市疫情防控工作，切实防范疫情输入和传播风险，商丘市新冠肺炎疫情防控指挥部办公室紧急提醒：请6月22日（含）以来有山东省青岛市黄岛区旅居史；来（返）商人员，立即向所在社区（村）、单位报备，并配合做好隔离管控及核酸检测等疫情防控措施。如有发热、咳嗽等症状，请立即到附近发热门诊就诊，就诊过程中要全程佩戴口罩，不要乘坐公共交通工具，主动告知医务人员相关接触情况。如隐瞒不报，造成疫情传播，将承担相应法律责任。同时提醒广大市民，目前全国、全省疫情形势虽有所好转，但输入性风险时刻存在，疫情防控工作绝不能松懈，要自觉遵守疫情防控各项规定，强化个人防护意识，前往餐馆、商超、酒店等公共场所时，配合做好扫码、测温、戴口罩、少聚集、少外出、一米线等疫情防控措施，尽早完成新冠疫苗加强针接种，共筑免疫屏障建立。商丘市新冠肺炎疫情防控指挥部办公室2022年6月30日,2076166751,魅力睢阳,f,2022/06/30,22:56:23,0,0,1, , , , , , 
https://m.weibo.cn/detail/4786191281426593,防疫科普 | 七问七答！事关老年人新冠疫苗接种……#疫情防控# 防疫科普 | 七问七答！事关老年人新冠疫苗接种…… ,7307610436,彩云红河谷,m,2022/06/30,22:46:27,1,0,4, , , , , , 
https://m.weibo.cn/detail/4786188411995574,【事关来（返）辽人员的通知】各市疫情防控指挥部，省指挥部各成员单位：　　按照国务院联防联控机制综合组《新型冠状病毒肺炎防控方案（第九版）》有关要求，现就做好来（返）辽人员健康管理服务工作通知如下：　　一、对有高风险区7天旅居史人员，进行7天集中隔离医学观察，集中隔离医学观察的第1、2、3、5、7天各开展一次核酸检测，管理期限自离开风险区算起。　　二、对有中风险区7天旅居史人员，进行7天居家隔离医学观察，居家隔离医学观察的第1、4、7天各开展一次核酸检测，管理期限自离开风险区算起。　　三、对有低风险区7天旅居史人员，3天内完成两次核酸检测，并做好健康监测。　　各地要时刻关注国内疫情形势和高、中、低风险区发布情况，精准组织落实有关管控措施，严防过度防控与层层加码，确保政策措施规范执行。　　本通知相关管理服务措施自6月27日起执行。　　辽宁省新冠肺炎疫情防控指挥部办公室　　2022年6月30日 #疫情防控##疫情##疫情#疫情,5816684132,沈阳新闻广播,f,2022/06/30,22:35:02,0,0,1, , , , , , 
https://m.weibo.cn/detail/4786184758234697,有什么新鲜事可以分享给大家？#疫情防控#北京健康宝 弹窗# 只有绝望，没有希望。除了认命，没有别的办法。这不死不活的苟延残喘，倒不如咔嚓了痛快！ ,1935642265,你们的暖暖姐姐,f,2022/06/30,22:20:32,1,0,0, , , , , , 
https://m.weibo.cn/detail/4786179357016897,#生活##晚安##人生感悟##疫情防控# 上半年在疫情防控中度过……下半年，继续走好自己的路做好自己的人其他的一概不问人生在世短短几十年快乐是一天忧愁也是一天人  只有活在当下没有来日方长因为意外和明天你不知道哪一个先到来本本分分做人安安静静生活这就是我要的生活状态…… 北京·北京市大兴区人民政府,7457458359,沃爱阅读,m,2022/06/30,21:59:03,0,0,1, , , , , , 
https://m.weibo.cn/detail/4786177574178227,#疫情防控##高考结束# 今天是当志愿者的一天 ,7735554708,张隆基-Azan,m,2022/06/30,21:51:59,0,0,1, , , , , , 
https://m.weibo.cn/detail/4786094358922572,九大主题金句素材，申论用得上！#公务员考试##疫情防控##省考#公考必胜#公务员# ,1610948130,公考大斌哥公务员行测申论指南,m,2022/06/30,16:21:19,23,1,26, , , , , , 
